,F1 Score,Accuracy,ROC-AUC
0,0.020169810368922403,0.016641452344931917,0.006720686885818727
1,0.008477463514305783,0.010590015128593089,0.007392284242761282
2,-0.0016847192610723871,0.004538577912254205,-0.0008683450463617959
3,0.010538262313603997,0.012102874432677768,0.006481370552294363
4,0.01147116526693126,0.010590015128593033,0.0072201414898045435
5,0.014153295102480201,0.015128593040847182,0.0060819106522701505
6,0.0009744485502488076,0.0015128593040846794,0.00538969834019809
7,-0.010207710834714667,0.0,-0.004299652434634371
8,-0.006429150965275965,-0.006051437216338829,0.005127590751168198
9,-0.001971620329526136,-0.001512859304084735,0.010788597586350646
10,0.0193064019768745,0.019667170953101387,0.0030593282173031477
11,0.023901011365101088,0.027231467473525006,0.0026907196665826305
12,-0.005880026472986577,-0.006051437216338884,-0.002042114161274089
13,-0.006429150965275965,-0.006051437216338829,0.005127590751168198
14,0.021325362668272563,0.021180030257186067,0.0090928006658344
15,0.0193064019768745,0.019667170953101387,0.0030593282173031477
16,0.023901011365101088,0.027231467473525006,0.0026907196665826305
17,0.011218818898526828,0.009077155824508298,-0.015015746252480255
18,0.00747246336375007,0.009077155824508298,0.005259374625614099
19,0.013076189833681195,0.013615733736762503,0.010367249271743595
